ID,DOB,Gender,Ht,Wgt
092,23/03/1980,male,5 9,12 11
093,28/02/1982,F,5 8,10 12
094,25/07/1966,Male,5 10,10 8
095,04/06/1956,female,5 8,10 11
096,17/08/1963,M,5 6,8 12
097,19/02/1973,m,5 9,9 10
098,23/06/1987,Female,4 11,7 5
099,20/10/1967,female,5 5,10 5
100,10/10/1978,Non-Binary,5 5,9 13
101,19/07/1996,Female,5 1,6 3
102,26/05/1950,Female,5 7,10 1
103,NA,m,5 5,8 5
104,29/06/1964,F,5 8,11 3
105,29/03/1992,F,5 6,6 13
106,25/03/1950,M,5 8,10 2
107,09/12/1970,Female,5 3,5 11
108,14/08/1996,female,5 3,8 6
109,NA,M,5 6,9 5
110,14/09/1968,Female,5 0,4 12
111,11/11/1955,F,5 4,12 4
112,14/11/1968,F,5 3,8 11
113,26/11/1972,male,6 2,10 13
114,15/05/1994,F,5 4,10 11
115,30/08/1992,F,5 8,8 1
116,16/07/1975,Non-Binary,5 2,6 8
117,11/03/1978,male,5 8,10 1
118,05/11/1996,F,5 2,7 8
119,15/12/1959,male,5 7,9 8
120,24/05/1969,Male,5 4,10 12
121,26/07/1996,M,5 10,11 8
122,14/06/1951,F,5 1,8 7
123,09/04/1998,Male,5 9,12 12
124,19/10/1977,male,5 10,7 5
125,14/10/1961,m,5 7,9 12
126,18/12/1954,Male,5 10,12 6
127,11/05/1999,f,5 5,10 9
128,18/07/1965,m,5 2,9 8
129,03/08/1989,female,5 0,9 7
130,18/11/1965,Male,5 10,7 7
131,22/08/1989,F,5 8,9 0
132,28/11/1979,f,5 0,7 7
133,14/08/1992,Female,5 8,10 3
134,19/03/1993,male,5 11,10 11
135,NA,Female,5 4,3 3
136,25/05/1950,male,5 7,9 9
137,23/03/1965,female,5 4,8 1
138,20/06/1963,m,5 10,13 11
139,12/03/1973,M,6 0,11 3
140,18/05/1977,Non-Binary,5 5,8 3
141,25/06/1984,Female,5 6,8 0
142,25/03/1953,F,5 5,8 3
143,04/09/1961,male,5 10,9 9
144,17/08/1968,M,6 3,17 12
145,06/12/1956,Male,6 0,10 12
146,20/04/1952,f,5 2,9 12
147,10/11/1985,male,5 5,4 8
148,22/03/1951,F,5 10,11 11
149,02/07/1999,male,5 9,5 11
150,15/06/1977,f,5 9,7 13
